UUID,Name,Encrypted,Medtronic Proprietary,Notes,Converter Class
00000701-0000-1000-0000-009132591325,Secure Session Establishment,?,yes?,,,
00000702-0000-1000-0000-009132591325,?,?,yes?,,,
