UUID,Name,Encrypted,Medtronic Proprietary,Notes,Converter Class
c774edac-e573-45e1-97c6-8b5c18cc571a,?,?,yes,,,
de3e5221-1308-439c-a13a-884ddc387ca7,?,?,yes,,,
8484039e-97d3-40c0-bb55-c70c17badae2,?,?,yes,,,
