UUID,Name,Encrypted,Medtronic Proprietary,Notes,Converter Class
00000601-0000-1000-0000-009132591325,Certificate Management Request,?,yes?,,,
00000602-0000-1000-0000-009132591325,?,?,yes?,maybe Certificate Management Response?,,
