UUID,Name,Encrypted,Medtronic Proprietary,Notes,Converter Class
5f0b2420-be34-11e4-bc62-0002a5d5c51b,Active Params,?,?,,,
500d8e40-be34-11e4-9b24-0002a5d5c51b,Client Requested Params,?,?,,,
